127.0.0.1 - - [19/Nov/2016:19:16:47 +0100] "POST /axis2/services/HotelService HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /tomcat.css HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:23 +0100] "GET /axis2/services/listServices HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:30 +0100] "GET /axis2/services HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:49 +0100] "GET /axis2 HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:17:55 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [19/Nov/2016:19:18:16 +0100] "GET /axis2 HTTP/1.1" 404 1014
